National - Regional - LA - OAs,Month,People on Universal Credit,dttm
Kingston upon Thames,June 2020,11008,2020-06-01
Kingston upon Thames,July 2020,11243,2020-07-01
Kingston upon Thames,August 2020,11359,2020-08-01
Kingston upon Thames,September 2020,11532,2020-09-01
Kingston upon Thames,October 2020,11646,2020-10-01
Kingston upon Thames,November 2020,11883,2020-11-01
Kingston upon Thames,December 2020,12082,2020-12-01
Kingston upon Thames,January 2021,12148,2021-01-01
Kingston upon Thames,February 2021,12226,2021-02-01
Kingston upon Thames,March 2021,12261,2021-03-01
Kingston upon Thames,April 2021,12186,2021-04-01
Kingston upon Thames,May 2021,11988,2021-05-01
Kingston upon Thames,June 2021,11722,2021-06-01
Kingston upon Thames,July 2021,11461,2021-07-01
Kingston upon Thames,August 2021,11298,2021-08-01
Kingston upon Thames,September 2021,11095,2021-09-01
Kingston upon Thames,October 2021,10967,2021-10-01
Kingston upon Thames,November 2021,10796,2021-11-01
Kingston upon Thames,December 2021,10666,2021-12-01
Kingston upon Thames,January 2022,10584,2022-01-01
Kingston upon Thames,February 2022,10518,2022-02-01
Kingston upon Thames,March 2022,10451,2022-03-01
Kingston upon Thames,April 2022,10399,2022-04-01
Kingston upon Thames,May 2022,10380,2022-05-01
Kingston upon Thames,June 2022,10433,2022-06-01
Kingston upon Thames,July 2022,10541,2022-07-01
Kingston upon Thames,August 2022,10615,2022-08-01
Kingston upon Thames,September 2022,10618,2022-09-01
Kingston upon Thames,October 2022,10670,2022-10-01
Kingston upon Thames,November 2022,10732,2022-11-01
Kingston upon Thames,December 2022,10786,2022-12-01
Kingston upon Thames,January 2023,10826,2023-01-01
Kingston upon Thames,February 2023,10864,2023-02-01
Kingston upon Thames,March 2023,10906,2023-03-01
Kingston upon Thames,April 2023,11007,2023-04-01
Kingston upon Thames,May 2023,11020,2023-05-01
Kingston upon Thames,June 2023,11053,2023-06-01
Kingston upon Thames,July 2023,11162,2023-07-01
Kingston upon Thames,August 2023,11167,2023-08-01
Kingston upon Thames,September 2023,11234,2023-09-01
Kingston upon Thames,October 2023,11330,2023-10-01
Kingston upon Thames,November 2023,11409,2023-11-01
Kingston upon Thames,December 2023,11635,2023-12-01
Camden,January 2020,7347,2020-01-01
Camden,February 2020,7750,2020-02-01
Camden,March 2020,8033,2020-03-01
Camden,April 2020,11416,2020-04-01
Camden,May 2020,16099,2020-05-01
Camden,June 2020,17043,2020-06-01
Camden,July 2020,17467,2020-07-01
Camden,August 2020,17755,2020-08-01
Camden,September 2020,18111,2020-09-01
Camden,October 2020,18431,2020-10-01
Camden,November 2020,19118,2020-11-01
Camden,December 2020,19705,2020-12-01
Camden,January 2021,19893,2021-01-01
Camden,February 2021,20252,2021-02-01
Camden,March 2021,20503,2021-03-01
Camden,April 2021,20492,2021-04-01
Camden,May 2021,20443,2021-05-01
Camden,June 2021,20276,2021-06-01
Camden,July 2021,20188,2021-07-01
Camden,August 2021,19925,2021-08-01
Camden,September 2021,19736,2021-09-01
Camden,October 2021,19879,2021-10-01
Camden,November 2021,20097,2021-11-01
Camden,December 2021,19849,2021-12-01
Camden,January 2022,19614,2022-01-01
Camden,February 2022,19475,2022-02-01
Camden,March 2022,19194,2022-03-01
Camden,April 2022,19058,2022-04-01
Camden,May 2022,19041,2022-05-01
Camden,June 2022,19041,2022-06-01
Camden,July 2022,19158,2022-07-01
Camden,August 2022,19207,2022-08-01
Camden,September 2022,19306,2022-09-01
Camden,October 2022,19457,2022-10-01
Camden,November 2022,19437,2022-11-01
Camden,December 2022,19401,2022-12-01
Camden,January 2023,19403,2023-01-01
Camden,February 2023,19458,2023-02-01
Camden,March 2023,19458,2023-03-01
Camden,April 2023,19661,2023-04-01
Camden,May 2023,19795,2023-05-01
Camden,June 2023,19808,2023-06-01
Camden,July 2023,19911,2023-07-01
Camden,August 2023,20074,2023-08-01
Camden,September 2023,20248,2023-09-01
Camden,October 2023,20476,2023-10-01
Camden,November 2023,20697,2023-11-01
Camden,December 2023,21116,2023-12-01
City of London,January 2020,151,2020-01-01
City of London,February 2020,160,2020-02-01
City of London,March 2020,163,2020-03-01
City of London,April 2020,244,2020-04-01
City of London,May 2020,348,2020-05-01
City of London,June 2020,352,2020-06-01
City of London,July 2020,357,2020-07-01
City of London,August 2020,377,2020-08-01
City of London,September 2020,387,2020-09-01
City of London,October 2020,408,2020-10-01
City of London,November 2020,423,2020-11-01
City of London,December 2020,447,2020-12-01
City of London,January 2021,460,2021-01-01
City of London,February 2021,463,2021-02-01
City of London,March 2021,472,2021-03-01
City of London,April 2021,461,2021-04-01
City of London,May 2021,487,2021-05-01
City of London,June 2021,495,2021-06-01
City of London,July 2021,483,2021-07-01
City of London,August 2021,468,2021-08-01
City of London,September 2021,452,2021-09-01
City of London,October 2021,534,2021-10-01
City of London,November 2021,621,2021-11-01
City of London,December 2021,623,2021-12-01
City of London,January 2022,602,2022-01-01
City of London,February 2022,612,2022-02-01
City of London,March 2022,615,2022-03-01
City of London,April 2022,604,2022-04-01
City of London,May 2022,599,2022-05-01
City of London,June 2022,581,2022-06-01
City of London,July 2022,589,2022-07-01
City of London,August 2022,565,2022-08-01
City of London,September 2022,545,2022-09-01
City of London,October 2022,514,2022-10-01
City of London,November 2022,494,2022-11-01
City of London,December 2022,484,2022-12-01
City of London,January 2023,476,2023-01-01
City of London,February 2023,459,2023-02-01
City of London,March 2023,436,2023-03-01
City of London,April 2023,442,2023-04-01
City of London,May 2023,450,2023-05-01
City of London,June 2023,442,2023-06-01
City of London,July 2023,469,2023-07-01
City of London,August 2023,478,2023-08-01
City of London,September 2023,470,2023-09-01
City of London,October 2023,467,2023-10-01
City of London,November 2023,441,2023-11-01
City of London,December 2023,453,2023-12-01
Hackney,January 2020,12395,2020-01-01
Hackney,February 2020,13125,2020-02-01
Hackney,March 2020,13703,2020-03-01
Hackney,April 2020,18781,2020-04-01
Hackney,May 2020,27746,2020-05-01
Hackney,June 2020,29079,2020-06-01
Hackney,July 2020,30000,2020-07-01
Hackney,August 2020,30610,2020-08-01
Hackney,September 2020,31280,2020-09-01
Hackney,October 2020,31788,2020-10-01
Hackney,November 2020,32728,2020-11-01
Hackney,December 2020,33653,2020-12-01
Hackney,January 2021,34106,2021-01-01
Hackney,February 2021,34580,2021-02-01
Hackney,March 2021,34867,2021-03-01
Hackney,April 2021,35088,2021-04-01
Hackney,May 2021,35189,2021-05-01
Hackney,June 2021,34678,2021-06-01
Hackney,July 2021,34486,2021-07-01
Hackney,August 2021,34161,2021-08-01
Hackney,September 2021,33734,2021-09-01
Hackney,October 2021,33300,2021-10-01
Hackney,November 2021,33063,2021-11-01
Hackney,December 2021,32777,2021-12-01
Hackney,January 2022,32364,2022-01-01
Hackney,February 2022,32198,2022-02-01
Hackney,March 2022,31920,2022-03-01
Hackney,April 2022,31873,2022-04-01
Hackney,May 2022,31715,2022-05-01
Hackney,June 2022,31923,2022-06-01
Hackney,July 2022,32090,2022-07-01
Hackney,August 2022,31965,2022-08-01
Hackney,September 2022,32073,2022-09-01
Hackney,October 2022,32290,2022-10-01
Hackney,November 2022,32420,2022-11-01
Hackney,December 2022,32515,2022-12-01
Hackney,January 2023,32691,2023-01-01
Hackney,February 2023,32756,2023-02-01
Hackney,March 2023,32828,2023-03-01
Hackney,April 2023,33108,2023-04-01
Hackney,May 2023,33394,2023-05-01
Hackney,June 2023,33763,2023-06-01
Hackney,July 2023,34297,2023-07-01
Hackney,August 2023,34430,2023-08-01
Hackney,September 2023,34960,2023-09-01
Hackney,October 2023,35434,2023-10-01
Hackney,November 2023,35929,2023-11-01
Hackney,December 2023,36605,2023-12-01
Hammersmith and Fulham,January 2020,10309,2020-01-01
Hammersmith and Fulham,February 2020,10591,2020-02-01
Hammersmith and Fulham,March 2020,10717,2020-03-01
Hammersmith and Fulham,April 2020,12897,2020-04-01
Hammersmith and Fulham,May 2020,17980,2020-05-01
Hammersmith and Fulham,June 2020,18893,2020-06-01
Hammersmith and Fulham,July 2020,19272,2020-07-01
Hammersmith and Fulham,August 2020,19546,2020-08-01
Hammersmith and Fulham,September 2020,19950,2020-09-01
Hammersmith and Fulham,October 2020,20225,2020-10-01
Hammersmith and Fulham,November 2020,20986,2020-11-01
Hammersmith and Fulham,December 2020,21394,2020-12-01
Hammersmith and Fulham,January 2021,21516,2021-01-01
Hammersmith and Fulham,February 2021,21809,2021-02-01
Hammersmith and Fulham,March 2021,21907,2021-03-01
Hammersmith and Fulham,April 2021,21876,2021-04-01
Hammersmith and Fulham,May 2021,21842,2021-05-01
Hammersmith and Fulham,June 2021,21626,2021-06-01
Hammersmith and Fulham,July 2021,21301,2021-07-01
Hammersmith and Fulham,August 2021,21137,2021-08-01
Hammersmith and Fulham,September 2021,20905,2021-09-01
Hammersmith and Fulham,October 2021,20716,2021-10-01
Hammersmith and Fulham,November 2021,20450,2021-11-01
Hammersmith and Fulham,December 2021,20109,2021-12-01
Hammersmith and Fulham,January 2022,19770,2022-01-01
Hammersmith and Fulham,February 2022,19595,2022-02-01
Hammersmith and Fulham,March 2022,19376,2022-03-01
Hammersmith and Fulham,April 2022,19237,2022-04-01
Hammersmith and Fulham,May 2022,19109,2022-05-01
Hammersmith and Fulham,June 2022,19092,2022-06-01
Hammersmith and Fulham,July 2022,19122,2022-07-01
Hammersmith and Fulham,August 2022,19007,2022-08-01
Hammersmith and Fulham,September 2022,18951,2022-09-01
Hammersmith and Fulham,October 2022,18978,2022-10-01
Hammersmith and Fulham,November 2022,18953,2022-11-01
Hammersmith and Fulham,December 2022,18925,2022-12-01
Hammersmith and Fulham,January 2023,18899,2023-01-01
Hammersmith and Fulham,February 2023,18891,2023-02-01
Hammersmith and Fulham,March 2023,18865,2023-03-01
Hammersmith and Fulham,April 2023,18881,2023-04-01
Hammersmith and Fulham,May 2023,18973,2023-05-01
Hammersmith and Fulham,June 2023,19049,2023-06-01
Hammersmith and Fulham,July 2023,19120,2023-07-01
Hammersmith and Fulham,August 2023,19130,2023-08-01
Hammersmith and Fulham,September 2023,19213,2023-09-01
Hammersmith and Fulham,October 2023,19364,2023-10-01
Hammersmith and Fulham,November 2023,19583,2023-11-01
Hammersmith and Fulham,December 2023,19942,2023-12-01
Merton,January 2020,8641,2020-01-01
Merton,February 2020,8964,2020-02-01
Merton,March 2020,9204,2020-03-01
Merton,April 2020,12613,2020-04-01
Merton,May 2020,17986,2020-05-01
Merton,June 2020,18897,2020-06-01
Merton,July 2020,19232,2020-07-01
Merton,August 2020,19488,2020-08-01
Merton,September 2020,19823,2020-09-01
Merton,October 2020,20107,2020-10-01
Merton,November 2020,20624,2020-11-01
Merton,December 2020,21046,2020-12-01
Merton,January 2021,21135,2021-01-01
Merton,February 2021,21186,2021-02-01
Merton,March 2021,21105,2021-03-01
Merton,April 2021,21038,2021-04-01
Merton,May 2021,20860,2021-05-01
Merton,June 2021,20600,2021-06-01
Merton,July 2021,20355,2021-07-01
Merton,August 2021,20003,2021-08-01
Merton,September 2021,19707,2021-09-01
Merton,October 2021,19431,2021-10-01
Merton,November 2021,19264,2021-11-01
Merton,December 2021,19026,2021-12-01
Merton,January 2022,18593,2022-01-01
Merton,February 2022,18566,2022-02-01
Merton,March 2022,18504,2022-03-01
Merton,April 2022,18443,2022-04-01
Merton,May 2022,18381,2022-05-01
Merton,June 2022,18297,2022-06-01
Merton,July 2022,18392,2022-07-01
Merton,August 2022,18372,2022-08-01
Merton,September 2022,18427,2022-09-01
Merton,October 2022,18585,2022-10-01
Merton,November 2022,18586,2022-11-01
Merton,December 2022,18648,2022-12-01
Merton,January 2023,18564,2023-01-01
Merton,February 2023,18633,2023-02-01
Merton,March 2023,18572,2023-03-01
Merton,April 2023,18709,2023-04-01
Merton,May 2023,18753,2023-05-01
Merton,June 2023,18896,2023-06-01
Merton,July 2023,18995,2023-07-01
Merton,August 2023,19044,2023-08-01
Merton,September 2023,19133,2023-09-01
Merton,October 2023,19316,2023-10-01
Merton,November 2023,19512,2023-11-01
Merton,December 2023,19903,2023-12-01
Redbridge,January 2020,11627,2020-01-01
Redbridge,February 2020,12343,2020-02-01
Redbridge,March 2020,12924,2020-03-01
Redbridge,April 2020,19690,2020-04-01
Redbridge,May 2020,27125,2020-05-01
Redbridge,June 2020,28961,2020-06-01
Redbridge,July 2020,29558,2020-07-01
Redbridge,August 2020,29855,2020-08-01
Redbridge,September 2020,30347,2020-09-01
Redbridge,October 2020,30941,2020-10-01
Redbridge,November 2020,32184,2020-11-01
Redbridge,December 2020,32992,2020-12-01
Redbridge,January 2021,33175,2021-01-01
Redbridge,February 2021,33493,2021-02-01
Redbridge,March 2021,33740,2021-03-01
Redbridge,April 2021,33781,2021-04-01
Redbridge,May 2021,33917,2021-05-01
Redbridge,June 2021,33925,2021-06-01
Redbridge,July 2021,33742,2021-07-01
Redbridge,August 2021,33488,2021-08-01
Redbridge,September 2021,33087,2021-09-01
Redbridge,October 2021,32929,2021-10-01
Redbridge,November 2021,32541,2021-11-01
Redbridge,December 2021,31660,2021-12-01
Redbridge,January 2022,30969,2022-01-01
Redbridge,February 2022,30767,2022-02-01
Redbridge,March 2022,30256,2022-03-01
Redbridge,April 2022,29935,2022-04-01
Redbridge,May 2022,29756,2022-05-01
Redbridge,June 2022,29712,2022-06-01
Redbridge,July 2022,29886,2022-07-01
Redbridge,August 2022,30023,2022-08-01
Redbridge,September 2022,30133,2022-09-01
Redbridge,October 2022,30323,2022-10-01
Redbridge,November 2022,30390,2022-11-01
Redbridge,December 2022,30461,2022-12-01
Redbridge,January 2023,30560,2023-01-01
Redbridge,February 2023,30615,2023-02-01
Redbridge,March 2023,30655,2023-03-01
Redbridge,April 2023,30945,2023-04-01
Redbridge,May 2023,31006,2023-05-01
Redbridge,June 2023,31259,2023-06-01
Redbridge,July 2023,31493,2023-07-01
Redbridge,August 2023,31784,2023-08-01
Redbridge,September 2023,32087,2023-09-01
Redbridge,October 2023,32297,2023-10-01
Redbridge,November 2023,32375,2023-11-01
Redbridge,December 2023,33005,2023-12-01
Richmond upon Thames,January 2020,4349,2020-01-01
Richmond upon Thames,February 2020,4537,2020-02-01
Richmond upon Thames,March 2020,4717,2020-03-01
Richmond upon Thames,April 2020,6606,2020-04-01
Richmond upon Thames,May 2020,9415,2020-05-01
Richmond upon Thames,June 2020,9840,2020-06-01
Richmond upon Thames,July 2020,10138,2020-07-01
Richmond upon Thames,August 2020,10295,2020-08-01
Richmond upon Thames,September 2020,10503,2020-09-01
Richmond upon Thames,October 2020,10553,2020-10-01
Richmond upon Thames,November 2020,10697,2020-11-01
Richmond upon Thames,December 2020,10917,2020-12-01
Richmond upon Thames,January 2021,10970,2021-01-01
Richmond upon Thames,February 2021,11027,2021-02-01
Richmond upon Thames,March 2021,11074,2021-03-01
Richmond upon Thames,April 2021,11016,2021-04-01
Richmond upon Thames,May 2021,10985,2021-05-01
Richmond upon Thames,June 2021,10889,2021-06-01
Richmond upon Thames,July 2021,10717,2021-07-01
Richmond upon Thames,August 2021,10588,2021-08-01
Richmond upon Thames,September 2021,10389,2021-09-01
Richmond upon Thames,October 2021,10210,2021-10-01
Richmond upon Thames,November 2021,10060,2021-11-01
Richmond upon Thames,December 2021,9851,2021-12-01
Richmond upon Thames,January 2022,9704,2022-01-01
Richmond upon Thames,February 2022,9664,2022-02-01
Richmond upon Thames,March 2022,9583,2022-03-01
Richmond upon Thames,April 2022,9542,2022-04-01
Richmond upon Thames,May 2022,9476,2022-05-01
Richmond upon Thames,June 2022,9480,2022-06-01
Richmond upon Thames,July 2022,9557,2022-07-01
Richmond upon Thames,August 2022,9602,2022-08-01
Richmond upon Thames,September 2022,9618,2022-09-01
Richmond upon Thames,October 2022,9666,2022-10-01
Richmond upon Thames,November 2022,9751,2022-11-01
Richmond upon Thames,December 2022,9731,2022-12-01
Richmond upon Thames,January 2023,9683,2023-01-01
Richmond upon Thames,February 2023,9706,2023-02-01
Richmond upon Thames,March 2023,9739,2023-03-01
Richmond upon Thames,April 2023,9769,2023-04-01
Richmond upon Thames,May 2023,9769,2023-05-01
Richmond upon Thames,June 2023,9807,2023-06-01
Richmond upon Thames,July 2023,9840,2023-07-01
Richmond upon Thames,August 2023,9861,2023-08-01
Richmond upon Thames,September 2023,9830,2023-09-01
Richmond upon Thames,October 2023,9894,2023-10-01
Richmond upon Thames,November 2023,9974,2023-11-01
Richmond upon Thames,December 2023,10120,2023-12-01
Sutton,January 2020,10391,2020-01-01
Sutton,February 2020,10672,2020-02-01
Sutton,March 2020,10874,2020-03-01
Sutton,April 2020,13924,2020-04-01
Sutton,May 2020,17842,2020-05-01
Sutton,June 2020,18236,2020-06-01
Sutton,July 2020,18363,2020-07-01
Sutton,August 2020,18410,2020-08-01
Sutton,September 2020,18697,2020-09-01
Sutton,October 2020,18719,2020-10-01
Sutton,November 2020,18955,2020-11-01
Sutton,December 2020,19209,2020-12-01
Sutton,January 2021,19262,2021-01-01
Sutton,February 2021,19334,2021-02-01
Sutton,March 2021,19380,2021-03-01
Sutton,April 2021,19233,2021-04-01
Sutton,May 2021,18970,2021-05-01
Sutton,June 2021,18793,2021-06-01
Sutton,July 2021,18523,2021-07-01
Sutton,August 2021,18322,2021-08-01
Sutton,September 2021,18125,2021-09-01
Sutton,October 2021,17875,2021-10-01
Sutton,November 2021,17634,2021-11-01
Sutton,December 2021,17384,2021-12-01
Sutton,January 2022,17135,2022-01-01
Sutton,February 2022,17004,2022-02-01
Sutton,March 2022,16841,2022-03-01
Sutton,April 2022,16738,2022-04-01
Sutton,May 2022,16758,2022-05-01
Sutton,June 2022,16814,2022-06-01
Sutton,July 2022,16984,2022-07-01
Sutton,August 2022,16998,2022-08-01
Sutton,September 2022,17046,2022-09-01
Sutton,October 2022,17090,2022-10-01
Sutton,November 2022,17117,2022-11-01
Sutton,December 2022,17233,2022-12-01
Sutton,January 2023,17241,2023-01-01
Sutton,February 2023,17251,2023-02-01
Sutton,March 2023,17260,2023-03-01
Sutton,April 2023,17307,2023-04-01
Sutton,May 2023,17334,2023-05-01
Sutton,June 2023,17379,2023-06-01
Sutton,July 2023,17393,2023-07-01
Sutton,August 2023,17343,2023-08-01
Sutton,September 2023,17431,2023-09-01
Sutton,October 2023,17525,2023-10-01
Sutton,November 2023,17621,2023-11-01
Sutton,December 2023,17974,2023-12-01
Waltham Forest,January 2020,12136,2020-01-01
Waltham Forest,February 2020,12819,2020-02-01
Waltham Forest,March 2020,13241,2020-03-01
Waltham Forest,April 2020,20521,2020-04-01
Waltham Forest,May 2020,29376,2020-05-01
Waltham Forest,June 2020,30987,2020-06-01
Waltham Forest,July 2020,31769,2020-07-01
Waltham Forest,August 2020,32259,2020-08-01
Waltham Forest,September 2020,32987,2020-09-01
Waltham Forest,October 2020,33539,2020-10-01
Waltham Forest,November 2020,34825,2020-11-01
Waltham Forest,December 2020,35836,2020-12-01
Waltham Forest,January 2021,36165,2021-01-01
Waltham Forest,February 2021,36590,2021-02-01
Waltham Forest,March 2021,37001,2021-03-01
Waltham Forest,April 2021,36879,2021-04-01
Waltham Forest,May 2021,36622,2021-05-01
Waltham Forest,June 2021,36019,2021-06-01
Waltham Forest,July 2021,35512,2021-07-01
Waltham Forest,August 2021,35057,2021-08-01
Waltham Forest,September 2021,34464,2021-09-01
Waltham Forest,October 2021,33953,2021-10-01
Waltham Forest,November 2021,33421,2021-11-01
Waltham Forest,December 2021,32826,2021-12-01
Waltham Forest,January 2022,32066,2022-01-01
Waltham Forest,February 2022,31940,2022-02-01
Waltham Forest,March 2022,31646,2022-03-01
Waltham Forest,April 2022,31426,2022-04-01
Waltham Forest,May 2022,31331,2022-05-01
Waltham Forest,June 2022,31293,2022-06-01
Waltham Forest,July 2022,31322,2022-07-01
Waltham Forest,August 2022,31414,2022-08-01
Waltham Forest,September 2022,31416,2022-09-01
Waltham Forest,October 2022,31721,2022-10-01
Waltham Forest,November 2022,31818,2022-11-01
Waltham Forest,December 2022,31748,2022-12-01
Waltham Forest,January 2023,31786,2023-01-01
Waltham Forest,February 2023,31964,2023-02-01
Waltham Forest,March 2023,32026,2023-03-01
Waltham Forest,April 2023,32386,2023-04-01
Waltham Forest,May 2023,32533,2023-05-01
Waltham Forest,June 2023,32714,2023-06-01
Waltham Forest,July 2023,33094,2023-07-01
Waltham Forest,August 2023,33308,2023-08-01
Waltham Forest,September 2023,33545,2023-09-01
Waltham Forest,October 2023,33902,2023-10-01
Waltham Forest,November 2023,34147,2023-11-01
Waltham Forest,December 2023,34865,2023-12-01
Total,January 2020,399177,2020-01-01
Total,February 2020,418280,2020-02-01
Total,March 2020,432488,2020-03-01
Total,April 2020,576043,2020-04-01
Total,May 2020,822360,2020-05-01
Total,June 2020,867746,2020-06-01
Total,July 2020,888554,2020-07-01
Total,August 2020,902370,2020-08-01
Total,September 2020,922509,2020-09-01
Total,October 2020,937680,2020-10-01
Total,November 2020,968489,2020-11-01
Total,December 2020,991625,2020-12-01
Total,January 2021,1000199,2021-01-01
Total,February 2021,1011749,2021-02-01
Total,March 2021,1018628,2021-03-01
Total,April 2021,1018079,2021-04-01
Total,May 2021,1015321,2021-05-01
Total,June 2021,1007347,2021-06-01
Total,July 2021,999406,2021-07-01
Total,August 2021,991707,2021-08-01
Total,September 2021,979257,2021-09-01
Total,October 2021,969292,2021-10-01
Total,November 2021,959011,2021-11-01
Total,December 2021,945434,2021-12-01
Total,January 2022,930340,2022-01-01
Total,February 2022,925528,2022-02-01
Total,March 2022,916746,2022-03-01
Total,April 2022,914000,2022-04-01
Total,May 2022,911170,2022-05-01
Total,June 2022,912084,2022-06-01
Total,July 2022,916389,2022-07-01
Total,August 2022,918333,2022-08-01
Total,September 2022,919278,2022-09-01
Total,October 2022,924851,2022-10-01
Total,November 2022,927101,2022-11-01
Total,December 2022,928495,2022-12-01
Total,January 2023,928788,2023-01-01
Total,February 2023,932745,2023-02-01
Total,March 2023,933991,2023-03-01
Total,April 2023,940276,2023-04-01
Total,May 2023,944813,2023-05-01
Total,June 2023,950888,2023-06-01
Total,July 2023,958541,2023-07-01
Total,August 2023,962971,2023-08-01
Total,September 2023,970018,2023-09-01
Total,October 2023,980075,2023-10-01
Total,November 2023,990323,2023-11-01
Total,December 2023,1010880,2023-12-01
